Timestamp_ms,EMG_Value
pe:17.75
Rectified_Signal:12.97,Rectwin_Envelope:19.00,Hanning_Envelope:17.63
Rectified_Signal:3.03,Rectwin_Envelope:18.81,Hanning_Envelope:17.54
Rectified_Signal:54.92,Rectwin_Envelope:19.64,Hanning_Envelope:17.48
Rectified_Signal:51.81,Rectwin_Envelope:20.09,Hanning_Envelope:17.43
Rectified_Signal:29.75,Rectwin_Envelope:19.81,Hanning_Envelope:17.42
Rectified_Signal:5.74,Rectwin_Envelope:19.78,Hanning_Envelope:17.46
Rectified_Signal:10.72,Rectwin_Envelope:19.73,Hanning_Envelope:17.53
Rectified_Signal:2.72,Rectwin_Envelope:19.49,Hanning_Envelope:17.64
Rectified_Signal:0.72,Rectwin_Envelope:19.05,Hanning_Envelope:17.77
Rectified_Signal:41.63,Rectwin_Envelope:19.18,Hanning_Envelope:17.93
Rectified_Signal:35.56,Rectwin_Envelope:19.22,Hanning_Envelope:18.11
Rectified_Signal:13.41,Rectwin_Envelope:19.26,Hanning_Envelope:18.30
Rectified_Signal:2.41,Rectwin_Envelope:19.07,Hanning_Envelope:18.51
Rectified_Signal:1.40,Rectwin_Envelope:18.56,Hanning_Envelope:18.73
Rectified_Signal:3.59,Rectwin_Envelope:18.37,Hanning_Envelope:18.96
Rectified_Signal:13.56,Rectwin_Envelope:18.63,Hanning_Envelope:19.18
Rectified_Signal:17.53,Rectwin_Envelope:18.70,Hanning_Envelope:19.38
Rectified_Signal:6.46,Rectwin_Envelope:18.23,Hanning_Envelope:19.56
Rectified_Signal:6.45,Rectwin_Envelope:18.13,Hanning_Envelope:19.73
Rectified_Signal:25.50,Rectwin_Envelope:17.59,Hanning_Envelope:19.88
Rectified_Signal:34.43,Rectwin_Envelope:17.54,Hanning_Envelope:20.00
Rectified_Signal:17.53,Rectwin_Envelope:17.71,Hanning_Envelope:20.10
Rectified_Signal:8.45,Rectwin_Envelope:17.48,Hanning_Envelope:20.15
Rectified_Signal:37.47,Rectwin_Envelope:17.89,Hanning_Envelope:20.18
Rectified_Signal:30.41,Rectwin_Envelope:18.46,Hanning_Envelope:20.16
Rectified_Signal:19.55,Rectwin_Envelope:18.76,Hanning_Envelope:20.11
Rectified_Signal:26.49,Rectwin_Envelope:18.85,Hanning_Envelope:20.02
Rectified_Signal:26.45,Rectwin_Envelope:18.74,Hanning_Envelope:19.92
Rectified_Signal:3.54,Rectwin_Envelope:18.55,Hanning_Envelope:19.81
Rectified_Signal:0.54,Rectwin_Envelope:18.37,Hanning_Envelope:19.68
Rectified_Signal:17.43,Rectwin_Envelope:18.50,Hanning_Envelope:19.53
Rectified_Signal:11.40,Rectwin_Envelope:18.47,Hanning_Envelope:19.36
Rectified_Signal:17.56,Rectwin_Envelope:18.74,Hanning_Envelope:19.18
Rectified_Signal:16.53,Rectwin_Envelope:18.94,Hanning_Envelope:18.98
Rectified_Signal:10.45,Rectwin_Envelope:18.84,Hanning_Envelope:18.77
