Timestamp_ms,EMG_Value
0,2050
1,1980
2,2147
3,2059
4,2049
5,2120
6,2075
7,2113
8,2037
9,2130
10,2045
11,2012
12,2129
13,2194
14,2002
15,2023
16,2015
17,2008
18,2023
19,2036
20,2016
21,2042
22,2150
23,2146
24,2032
25,2094
26,2079
27,2064
28,1974
29,2069
30,2053
31,2006
32,2028
33,2106
34,2048
35,2012
36,2110
37,2003
38,2068
39,2024
40,2010
41,2104
42,1951
43,2086
44,2009
45,1975
46,2101
47,1928
48,2020
49,1996
50,1930
51,2096
52,2073
53,2013
54,2091
55,2119
56,1998
57,1999
58,2104
59,2110
60,2015
61,2012
62,2027
63,2028
64,2096
65,2120
66,2150
67,2098
68,2061
69,2109
70,2072
71,2164
72,2040
73,2011
74,2127
75,2075
76,2082
77,2074
78,2010
79,2044
80,2051
81,2103
82,1984
83,2032
84,1997
85,2053
86,2085
87,2029
88,1971
89,2081
90,2123
91,1930
92,2047
93,2069
94,2029
95,2120
96,2134
97,2092
98,1981
99,2021
100,2115
101,1928
102,2102
103,2004
104,2006
105,1928
106,2127
107,2101
108,2047
109,2022
110,2015
111,2141
112,2001
113,2029
114,2048
115,2022
116,2066
117,2052
118,1970
119,2122
120,1998
121,2047
122,2022
123,1990
124,2047
125,2069
126,2110
127,2000
128,2123
129,2030
130,2032
131,1977
132,1994
133,2076
134,2060
135,2068
136,2063
137,2058
138,2040
139,2132
140,1996
141,1989
142,2018
143,1989
144,2036
145,2023
146,2041
147,1921
148,2055
149,2086
150,2030
151,1961
152,2024
153,2084
154,2097
155,2136
156,2092
157,2059
158,2080
159,2056
160,2078
161,2064
162,1964
163,2022
164,1994
165,1989
166,2079
167,2069
168,2053
169,1964
170,2019
171,2046
172,2040
173,2060
174,2017
175,2082
176,2176
177,2040
178,2000
179,2135
180,2070
181,2051
182,1994
183,2060
184,2052
185,1940
186,2084
187,2016
188,2061
189,2062
190,2029
191,2061
192,2090
193,2062
194,2012
195,2039
196,2053
197,2061
198,1978
199,2026
200,1999
201,2072
202,1995
203,2045
204,2072
205,2064
206,1977
207,2025
208,2057
209,2034
210,2017
211,2017
212,2012
213,2042
214,2002
215,2039
216,2071
217,2132
218,2056
219,2033
220,2073
221,2050
222,2043
223,2015
224,2027
225,2010
226,1878
227,2005
228,2103
229,2072
230,2092
231,1973
232,2023
233,2015
234,2062
235,1987
236,2031
237,2024
238,2066
239,2073
240,2031
241,2039
242,2086
243,2051
244,2045
245,2077
246,2037
247,2006
248,2191
249,2089
250,2006
251,2028
252,2032
253,2060
254,2104
255,2082
256,2078
257,2026
258,2157
259,2028
260,2139
261,2100
262,2158
263,2038
264,2064
265,1956
266,1886
267,1949
268,1963
269,2103
270,2068
271,2021
272,2034
273,2028
274,2135
275,2132
276,2062
277,2028
278,2039
279,1973
280,1942
281,2109
282,2039
283,1983
284,2067
285,1928
286,2020
287,2036
288,1991
289,2052
290,2078
291,2009
292,2029
293,2129
294,2007
295,1946
296,2084
297,2140
298,1998
299,1991
300,2026
301,2081
302,2068
303,2055
304,2111
305,2068
306,2068
307,2035
308,2055
309,2012
310,1992
311,1984
312,2049
313,1996
314,2076
315,2036
316,2087
317,2018
318,2063
319,2026
320,2121
321,2050
322,2036
323,2084
324,2100
325,2006
326,2059
327,2059
328,1896
329,2107
330,1955
331,2014
332,2078
333,2139
334,2099
335,2133
336,2057
337,2093
338,1978
339,2030
340,1982
341,2117
342,2091
343,2063
344,2107
345,2068
346,2017
347,2132
348,2134
349,2109
350,2056
351,2058
352,2051
353,2021
354,2067
355,2148
356,2021
357,1995
358,2101
359,2138
360,2061
361,2122
362,2065
363,2018
364,2038
365,1918
366,2081
367,2046
368,2053
369,2075
370,2128
371,2097
372,2048
373,2138
374,2109
375,2103
376,2052
377,2057
378,2031
379,1940
380,2061
381,2123
382,2051
