Timestamp_ms,EMG_Value
0,2029
1,2188
2,2059
3,2038
4,2028
5,2121
6,2133
7,2143
8,2044
9,2123
10,2041
11,2054
12,2040
13,1999
14,2054
15,2031
16,2002
17,2040
18,2113
19,2074
20,1974
21,2083
22,2084
23,2094
24,1978
25,2037
26,2088
27,2030
28,1999
29,2055
30,2116
31,2042
32,1959
33,2053
34,2013
35,2094
36,2168
37,2033
38,2044
39,2036
40,2041
41,2082
42,2083
43,2029
44,2104
45,2137
46,1994
47,1980
48,2006
49,2069
50,1955
51,2023
52,1960
53,2055
54,2084
55,2037
56,2069
57,2015
58,2010
59,2051
60,1957
61,1991
62,2055
63,1995
64,2041
65,2071
66,2100
67,2029
68,2079
69,2011
70,2064
71,2001
72,2061
73,2164
74,2087
75,2038
76,1988
77,2044
78,2078
79,1961
80,2099
81,2067
82,2124
83,2053
84,2026
85,2031
86,2109
87,1955
88,2046
89,1996
90,2008
91,2096
92,2025
93,2030
94,2144
95,2017
96,2059
97,2012
98,2084
99,2073
100,2073
101,2074
102,2088
103,2057
104,2021
105,2061
106,2084
107,2004
108,2051
109,2154
110,1994
111,2045
112,1994
113,2022
114,2084
115,2028
116,2011
117,1984
118,2058
119,2031
120,2048
121,1998
122,2053
123,2134
124,1995
125,1983
126,2042
127,2132
128,2097
129,2051
130,2037
131,2033
132,1977
133,1982
134,2067
135,2088
136,2021
137,2010
138,2085
139,1971
140,2060
141,2046
142,2054
143,2071
144,1986
145,1996
146,2009
147,2062
148,2056
149,1997
150,2035
151,2136
152,1997
153,2044
154,2046
155,2102
156,2041
157,2029
158,2089
159,2048
160,2046
161,2083
162,2120
163,2143
164,2050
165,1959
166,1985
167,2110
168,2024
169,2073
170,2054
171,2072
172,2012
173,2031
174,2160
175,2072
176,2082
177,2011
178,2058
179,2025
180,1922
181,2076
182,2055
183,2094
184,2091
185,2060
186,2072
187,2072
188,1998
189,2056
190,1975
191,2044
192,2064
193,2028
194,2100
195,2043
196,2032
197,1951
198,2082
199,2104
200,2032
201,2094
202,1996
203,1987
204,2082
205,2096
206,2003
207,2041
208,2081
209,2086
210,2023
211,1989
212,2053
213,2049
214,1981
215,1999
216,2046
217,2098
218,2014
219,2068
220,2048
221,2063
222,2134
223,2055
224,2093
225,2020
226,2029
227,2094
228,2097
229,2049
